Site,Stream,Week Removed,Days in Stream,Substrate Number,Substrate,RespRateAvg,RespRateInd,Pre Dry Weight,Post Dry Weight,Ashed Weight,Post AFDM,Pre AFDM,Breakdown,Conductivity,Temp,pH,H,Turbidity,DO,Chloride,SRP,Nitrate,Ammonium,DIN,Sulfate,Magnesium,Manganese,Total Alkalinity,Iron,Total Hardness,Open Water,Perennial Ice/Snow,"Developed, Open Space","Developed, Low Intensity","Developed, Medium Inensity ","Developed, High Intensity",Barren Land (Rock/Sand/Clay,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrub/Scrub,Grassland/Herbaceous,Pasture/Hay,Cultivated Crops,Woody Wetlands,Emergent Herbaceous Wetlands
OhRv01,Ohio River,4,28,36,Cellulose Sponge,1.164082752,0.885517241,0.2933,0.1329,0.0749,0.058,0.264101985,0.0453,293.4166667,25.53333333,8.118333333,7.61E-09,25.762,6.56,21.324,24.6,442.7,178,620.7,72.6667,67,0.027,110,0.3,135,30.3,0,11.2,19.7,26.2,9.7,0,2.9,0,0,0,0,0,0,0,0
OhRv01,Ohio River,6,49,33,Wood Veneer,0.083442784,0.062030769,0.1779,0.1856,0.0231,0.1625,0.175710051,0.0014,293.4166667,25.53333333,8.118333333,7.61E-09,25.762,6.56,21.324,24.6,442.7,178,620.7,72.6667,67,0.027,110,0.3,135,30.3,0,11.2,19.7,26.2,9.7,0,2.9,0,0,0,0,0,0,0,0
OhRv02,Ohio River,4,28,209,Cellulose Sponge,0.462824534,0.266442389,0.2782,0.22,0.1011,0.1189,0.25050519,0.0203,300.1,26.1,7.808333333,5.15E-08,24.198,5.565,21.476,17.8,606.3,184,790.3,75,67.6667,0.023,75,3.1167,241.6667,40.1,0,8.4,11.5,24.7,5.8,0,8.6,0,0,0,0.4,0,0,0.4,0
OhRv02,Ohio River,6,49,212,Wood Veneer,0.190333285,0.142222222,0.1995,0.1904,0.0284,0.162,0.197044155,0.0052,300.1,26.1,7.808333333,1.55E-08,24.198,5.565,21.476,17.8,606.3,184,790.3,75,67.6667,0.023,75,3.1167,241.6667,40.1,0,8.4,11.5,24.7,5.8,0,8.6,0,0,0,0.4,0,0,0.4,0
ShCr02,Short Creek,4,18,129,Cellulose Sponge,5.340828613,4.256,0.2818,0.2342,0.1592,0.075,0.25374681,0.0367,988.3333333,21.13333333,8.5,3.16E-08,8.864,6.935,109.196,17.9,158.3,128.6,286.9,254.6667,153.3333,0.0193,513.3333,0.8667,1050,0,0,10.1,2.3,0.6,0.2,2.6,57.7,0.2,0,0,2.5,15.9,7.9,0,0
ShCr02,Short Creek,6,49,133,Wood Veneer,0.081511022,0.091586207,0.186,0.1621,0.0171,0.145,0.18371034,0.0051,988.3333333,21.13333333,8.5,3.16E-08,8.864,6.935,109.196,17.9,158.3,128.6,286.9,254.6667,153.3333,0.0193,513.3333,0.8667,1050,0,0,10.1,2.3,0.6,0.2,2.6,57.7,0.2,0,0,2.5,15.9,7.9,0,0
WdCr,Woodsdale Creek,4,28,81,Cellulose Sponge,3.451452364,2.029538462,0.2864,0.3452,0.2152,0.13,0.25788888,0.0357,666,21.86666667,8.291666667,5.11E-09,5.284,7.575,51.068,26.9,270.7,89.7,360.3,118.6667,70,0.0087,538.3333,0.4667,485,0,0,13.4,32.4,45.1,5.9,0,3.2,0,0,0,0,0,0,0,0
WdCr,Woodsdale Creek,6,49,84,Wood Veneer,0.128972941,0.109451697,0.229,0.2076,0.0161,0.1915,0.22618101,0.0029,666,21.86666667,8.291666667,5.11E-09,5.284,7.575,51.068,26.9,270.7,89.7,360.3,118.6667,70,0.0087,538.3333,0.4667,485,0,0,13.4,32.4,45.1,5.9,0,3.2,0,0,0,0,0,0,0,0
WeCr03,Wheeling Creek,4,28,3,Cellulose Sponge,1.205086454,0.768533087,0.33,0.3071,0.091,0.2161,0.2971485,0.0183,482.2666667,24.15,8.14,1.47E-07,18.38,7.455,38.6575,15.2,180.9,202,382.9,57.6667,83,0.023,253.3333,1.0333,200,0.9,0,27.4,24.9,22.2,8,0,16.5,0,0,0,0,0,0,0,0
WeCr03,Wheeling Creek,6,49,1,Wood Veneer,0.090622483,0.085087719,0.204,0.191,0.0086,0.1824,0.20148876,0.0028,482.2666667,24.15,8.14,1.47E-07,18.38,7.455,38.6575,15.2,180.9,202,382.9,57.6667,83,0.023,253.3333,1.0333,200,0.9,0,27.4,24.9,22.2,8,0,16.5,0,0,0,0,0,0,0,0
ChCr01,Cherry Hill Creek,4,28,195,Cellulose Sponge,1.638363231,1.715570698,0.2655,0.3937,0.1002,0.2935,0.239069475,0.0089,1477.166667,19.3,7.288333333,5.14833E-08,274.16,6.131666667,89.658,8.6,300.3,427,727.3,306.6667,200.0000,0.0270,351.6667,20.4333,655.0000,0,0,6.4,2.8,0.3,0,0,89.2,0,0,0,1.1,0.3,0,0,0
ChCr01,Cherry Hill Creek,6,49,197,Wood Veneer,0.115363679,0.103771849,0.2222,0.2316,0.0142,0.2174,0.219464718,2.00E-05,1477.166667,19.3,7.288333333,5.14833E-08,274.16,6.131666667,89.658,8.6,300.3,427,727.3,306.6667,200.0000,0.0270,351.6667,20.4333,655.0000,0,0,6.4,2.8,0.3,0,0,89.2,0,0,0,1.1,0.3,0,0,0
CsCr,Crap Stream,4,28,51,Cellulose Sponge,3.407929793,2.727868852,0.2983,0.1175,0.0504,0.0671,0.268604235,0.0506,1021.333333,19.63333333,7.893333333,1.2784E-08,26.674,5.85,88.402,34.5,310.5,2145,2455.5,206.6667,60.0000,0.0173,411.6667,0.6667,425.0000,28.1,0,5.3,7.3,24.5,34.9,0,0,0,0,0,0,0,0,0,0
CsCr,Crap Stream,6,49,54,Wood Veneer,0.165263125,0.217272186,0.1843,0.1815,0.0136,0.1679,0.182031267,0.0004,1021.333333,19.63333333,7.893333333,1.2784E-08,26.674,5.85,88.402,34.5,310.5,2145,2455.5,206.6667,60.0000,0.0173,411.6667,0.6667,425.0000,28.1,0,5.3,7.3,24.5,34.9,0,0,0,0,0,0,0,0,0,0
NrCr,National Road,4,28,19,Cellulose Sponge,1.736082362,1.085365854,0.3053,0.4973,0.3005,0.1968,0.274907385,0.0064,2815.666667,18.26666667,6.253333333,5.58042E-07,108.75,7.586666667,192.334,16.5,602,760.3,1362.3,342.5000,235.0000,0.0395,550.0000,9.8750,600.0000,0,0,28.5,21.3,13.2,9.7,0,27.3,0,0,0,0,0,0,0,0
NrCr,National Road,6,49,21,Wood Veneer,0.056513313,0.120843091,0.1768,0.1935,0.0227,0.1708,0.174623592,0.0005,2815.666667,18.26666667,6.253333333,5.58042E-07,108.75,7.586666667,192.334,16.5,602,760.3,1362.3,342.5000,235.0000,0.0395,550.0000,9.8750,600.0000,0,0,28.5,21.3,13.2,9.7,0,27.3,0,0,0,0,0,0,0,0
