Site,Week Removed,Days in Stream,Substrate Number,Substrate,RespRateAvg,RespRateInd,Pre Dry Weight,Post Dry Weight,Ashed Weight,Post AFDM,Pre AFDM,Breakdown,Conductivity,Temp,pH,H,Turbidity,DO,Chloride,SRP,Nitrate,Ammonium,DIN,Sulfate,Magnesium,Manganese,Total Alkalinity,Iron,Total Hardness,Open Water,Perennial Ice/Snow,"Developed, Open Space","Developed, Low Intensity","Developed, Medium Inensity ","Developed, High Intensity",Barren Land (Rock/Sand/Clay,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrub/Scrub,Grassland/Herbaceous,Pasture/Hay,Cultivated Crops,Woody Wetlands,Emergent Herbaceous Wetlands
BfCr01,3,21,126,Cellulose Sponge,1.196277734,2.709939148,0.285,0.3228,0.2242,0.0986,0.25662825,0.028,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,3,21,127,Cellulose Sponge,1.196277734,0.427932961,0.2959,0.2262,0.0830,0.1432,0.266443155,0.028,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,4,28,115,Cellulose Sponge,1.212657931,1.313833992,0.2697,0.2644,0.1632,0.1012,0.242851365,0.028,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,4,28,121,Cellulose Sponge,1.212657931,1.808019441,0.3155,0.1503,0.0680,0.0823,0.284091975,0.028,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,4,28,125,Cellulose Sponge,1.212657931,1.109009813,0.3049,0.2658,0.1537,0.1121,0.274547205,0.028,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,4,28,128,Cellulose Sponge,1.212657931,0.619768477,0.2888,0.2172,0.1049,0.1123,0.26004996,0.028,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,1,7,119,Wood Veneer,NA,NA,0.2049,0.2155,0.0204,0.1951,0.202377681,0.0042,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,1,7,124,Wood Veneer,NA,NA,0.2017,0.2094,0.0158,0.1936,0.199217073,0.0042,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,2,14,114,Wood Veneer,0.086022705,0.084723068,0.1742,0.17,0.0057,0.1643,0.172055598,0.0042,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,2,14,123,Wood Veneer,0.086022705,0.087322342,0.1871,0.1894,0.0135,0.1759,0.184796799,0.0042,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,3,21,113,Wood Veneer,0.114072872,0.108064516,0.2139,0.2137,0.0153,0.1984,0.211266891,0.0042,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,3,21,120,Wood Veneer,0.114072872,0.135131299,0.161,0.151,0.0101,0.1409,0.15901809,0.0042,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,3,21,127,Wood Veneer,0.114072872,0.099022801,0.1694,0.1647,0.0112,0.1535,0.167314686,0.0042,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,4,28,115,Wood Veneer,0.132946769,0.09003881,0.1692,0.1819,0.0273,0.1546,0.167117148,0.0042,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,4,28,125,Wood Veneer,0.132946769,0.15,0.1837,0.1924,0.0292,0.1632,0.181438653,0.0042,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,4,28,128,Wood Veneer,0.132946769,0.158801498,0.185,0.1736,0.0134,0.1602,0.18272265,0.0042,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,5,35,116,Wood Veneer,0.182446202,0.185814497,0.1619,0.1436,0.0153,0.1283,0.159907011,0.0042,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,5,35,121,Wood Veneer,0.182446202,0.181433022,0.1962,0.1703,0.0098,0.1605,0.193784778,0.0042,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,5,35,122,Wood Veneer,0.182446202,0.180091087,0.1864,0.1619,0.0082,0.1537,0.184105416,0.0042,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,6,49,117,Wood Veneer,0.113432412,0.121394395,0.1857,0.164,0.0177,0.1463,0.183414033,0.0042,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,6,49,118,Wood Veneer,0.113432412,0.111037673,0.1713,0.1543,0.0030,0.1513,0.169191297,0.0042,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr01,6,49,126,Wood Veneer,0.113432412,0.107865169,0.1802,0.1552,0.0128,0.1424,0.177981738,0.0042,401.2666667,22.16666667,8.333333333,4.64159E-09,20.094,7.141666667,16.462,0.0157,0.1210,0.1620,0.2830,25.3333,52.0000,0.0180,216.6667,0.2833,370.0000,0.1,0,7.4,0.6,0,0,1.4,63.4,0,0,0,0.6,2.6,21.4,1.8,0.6
BfCr02,1,7,178,Cellulose Sponge,NA,NA,0.2946,0.2003,0.0172,0.1831,0.26527257,0.021,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,1,7,184,Cellulose Sponge,NA,NA,0.3423,0.2395,0.0257,0.2138,0.308224035,0.021,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,1,7,188,Cellulose Sponge,NA,NA,0.3041,0.2088,0.0199,0.1889,0.273826845,0.021,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,1,7,190,Cellulose Sponge,NA,NA,0.3291,0.2166,0.0196,0.1970,0.296338095,0.021,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,2,14,179,Cellulose Sponge,0.428301903,0.277599525,0.3088,0.2158,0.0475,0.1683,0.27805896,0.021,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,2,14,186,Cellulose Sponge,0.428301903,0.704772858,0.3089,0.3244,0.1505,0.1739,0.278149005,0.021,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,2,14,189,Cellulose Sponge,0.428301903,0.361066336,0.2961,0.218,0.0567,0.1613,0.266623245,0.021,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,2,14,192,Cellulose Sponge,0.428301903,0.369768894,0.2818,0.2221,0.0620,0.1601,0.25374681,0.021,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,3,21,177,Cellulose Sponge,0.566844777,0.483221477,0.2862,0.2208,0.0718,0.149,0.25770879,0.021,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,3,21,180,Cellulose Sponge,0.566844777,0.598416887,0.2988,0.2428,0.0912,0.1516,0.26905446,0.021,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,3,21,181,Cellulose Sponge,0.566844777,0.674498141,0.2641,0.2245,0.0900,0.1345,0.237808845,0.021,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,3,21,183,Cellulose Sponge,0.566844777,0.511242604,0.2979,0.2686,0.1165,0.1521,0.268244055,0.021,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,4,28,182,Cellulose Sponge,1.568282835,1.757746479,0.2768,0.2222,0.0944,0.1278,0.24924456,0.021,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,4,28,185,Cellulose Sponge,1.568282835,1.21768813,0.3133,0.2131,0.0842,0.1289,0.282110985,0.021,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,4,28,187,Cellulose Sponge,1.568282835,2.429447853,0.2891,0.2286,0.1308,0.0978,0.260320095,0.021,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,4,28,191,Cellulose Sponge,1.568282835,0.868248877,0.3316,0.2345,0.0786,0.1559,0.29858922,0.021,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,1,7,184,Wood Veneer,NA,NA,0.2244,0.2262,0.0113,0.2149,0.221637636,0.0045,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,1,7,188,Wood Veneer,NA,NA,0.1772,0.2038,0.0106,0.1932,0.175018668,0.0045,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,2,14,179,Wood Veneer,0.046547139,0.030243548,0.2218,0.2806,0.0055,0.2751,0.219069642,0.0045,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,2,14,192,Wood Veneer,0.046547139,0.06285073,0.1893,0.1799,0.0017,0.1782,0.186969717,0.0045,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,3,21,177,Wood Veneer,0.046995902,0.050446663,0.2017,0.2005,0.0102,0.1903,0.199217073,0.0045,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,3,21,181,Wood Veneer,0.046995902,0.043910806,0.1844,0.1937,0.0188,0.1749,0.182130036,0.0045,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,3,21,183,Wood Veneer,0.046995902,0.046630237,0.1743,0.177,0.0123,0.1647,0.172154367,0.0045,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,4,28,182,Wood Veneer,0.128092001,0.107420495,0.1824,0.1788,0.0090,0.1698,0.180154656,0.0045,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,4,28,187,Wood Veneer,0.128092001,0.167068273,0.1662,0.1574,0.0080,0.1494,0.164154078,0.0045,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,4,28,191,Wood Veneer,0.128092001,0.109787234,0.2035,0.2094,0.0214,0.188,0.200994915,0.0045,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,5,35,178,Wood Veneer,0.094274858,0.07614399,0.1818,0.1746,0.0107,0.1639,0.179562042,0.0045,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,5,35,185,Wood Veneer,0.094274858,0.112833545,0.1837,0.1689,0.0115,0.1574,0.181438653,0.0045,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,5,35,190,Wood Veneer,0.094274858,0.093847039,0.1961,0.18,0.0061,0.1739,0.193686009,0.0045,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,6,49,180,Wood Veneer,0.110883048,0.101510574,0.1852,0.1871,0.0216,0.1655,0.182920188,0.0045,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,6,49,186,Wood Veneer,0.110883048,0.104169046,0.2157,0.1819,0.0068,0.1751,0.213044733,0.0045,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
BfCr02,6,49,189,Wood Veneer,0.110883048,0.126969523,0.2006,0.1817,0.0078,0.1739,0.198130614,0.0045,426.0666667,23.3,8.6,2.51189E-09,21.422,6.851666667,18.218,0.0152,0.0886,0.1410,0.2296,42.3333,60.6667,0.0100,211.6667,2.1500,938.3333,2.3,0,8.3,2.9,0,0,0,72.9,1.4,0,0,1.9,4.7,4.3,0,1.3
ChCr01,1,7,193,Cellulose Sponge,NA,NA,0.2935,0.2740,0.0837,0.1903,0.264282075,0.0089,1477.166667,19.3,7.288333333,5.14833E-08,274.16,6.131666667,89.658,0.0086,0.3003,0.4270,0.7273,306.6667,200.0000,0.0270,351.6667,20.4333,655.0000,0,0,6.4,2.8,0.3,0,0,89.2,0,0,0,1.1,0.3,0,0,0
ChCr01,1,7,197,Cellulose Sponge,NA,NA,0.2424,0.3257,0.1435,0.1822,0.21826908,0.0089,1477.166667,19.3,7.288333333,5.14833E-08,274.16,6.131666667,89.658,0.0086,0.3003,0.4270,0.7273,306.6667,200.0000,0.0270,351.6667,20.4333,655.0000,0,0,6.4,2.8,0.3,0,0,89.2,0,0,0,1.1,0.3,0,0,0
